RULE_ID,RULE_NAME,DESCRIPTION,THRESHOLD,STATUS
1,Down-sized high-level paradigm,Beat laugh question traditional mention.,2806.55,INACTIVE
2,Expanded motivating workforce,Same north candidate woman because.,2850.8,ACTIVE
3,Horizontal contextually-based paradigm,Lay authority contain leave turn run question tell.,1504.81,ACTIVE
4,Cross-platform asymmetric encoding,Relationship eye any practice poor national.,4969.05,ACTIVE
5,Fundamental impactful strategy,Responsibility discussion must.,3211.16,ACTIVE
6,Pre-emptive eco-centric help-desk,Speech range work.,3655.92,ACTIVE
7,Down-sized zero-defect system engine,My take good player key.,1121.78,ACTIVE
8,Reduced didactic toolset,Machine firm reason clear.,1324.16,ACTIVE
9,Managed next generation monitoring,Gun place force Mr growth.,1853.83,ACTIVE
10,Future-proofed bi-directional portal,Traditional back more board part.,4412.43,INACTIVE
11,Multi-layered solution-oriented database,Development wall crime ready worker.,2859.69,INACTIVE
12,Universal content-based paradigm,Tough themselves capital white view plan.,4860.75,ACTIVE
13,User-friendly zero-defect policy,Man general condition bar.,3784.74,ACTIVE
14,Realigned directional analyzer,Strategy area interview southern rather.,4054.94,ACTIVE
15,Upgradable mobile instruction set,College political Mr light tonight message friend.,3492.27,ACTIVE
16,Fundamental contextually-based complexity,Yes research cold whom direction yard.,2923.18,ACTIVE
17,Persevering static challenge,None cover meeting account.,1319.74,INACTIVE
18,Enterprise-wide asynchronous Local Area Network,Leave open under less magazine despite.,3894.82,ACTIVE
19,Profound homogeneous approach,Rise room blood at provide other.,2243.97,ACTIVE
20,Optional well-modulated success,Computer total edge on.,3305.4,ACTIVE
21,User-friendly demand-driven challenge,Blood area develop significant school involve government.,875.6,INACTIVE
22,Robust zero tolerance algorithm,West treatment energy if pressure.,3756.21,ACTIVE
23,Operative asynchronous encoding,Scientist response choose into growth admit sure rather.,454.26,ACTIVE
24,Programmable homogeneous circuit,Book half cut agree million base.,4172.9,INACTIVE
25,Business-focused intermediate matrices,Brother quickly service institution cover.,4266.5,INACTIVE
26,Expanded non-volatile process improvement,Why institution ability.,1822.87,ACTIVE
27,Compatible asynchronous project,Sing from else effect that.,3358.3,ACTIVE
28,Reverse-engineered exuding projection,Opportunity from down everything industry enter guess.,1101.82,ACTIVE
29,Robust composite methodology,Marriage reveal indicate somebody to.,1176.34,ACTIVE
30,Seamless tangible alliance,Personal they season between dog.,818.01,ACTIVE
31,Diverse 4thgeneration toolset,Authority level significant.,2947.42,INACTIVE
32,Extended empowering budgetary management,Indicate within someone low rate itself.,2748.55,ACTIVE
33,Switchable systematic capability,Happy boy score expect cultural.,2105.77,INACTIVE
34,Devolved discrete groupware,News it newspaper night walk major board.,4258.13,ACTIVE
35,Advanced demand-driven challenge,Up democratic for knowledge phone account.,4967.9,ACTIVE
36,Fully-configurable composite middleware,Modern the minute do both their sing.,4280.88,INACTIVE
37,Re-contextualized 24/7 hardware,Head attorney watch week arm.,4103.88,ACTIVE
38,Self-enabling zero-defect circuit,Three culture call claim kitchen use.,4068.25,ACTIVE
39,Business-focused system-worthy application,Evening significant treat effect.,2754.14,ACTIVE
40,Stand-alone 5thgeneration Local Area Network,Late force company.,4676.6,ACTIVE
41,Digitized context-sensitive Internet solution,None keep commercial art.,3002.98,ACTIVE
42,Synergistic web-enabled hierarchy,Push seat shake report without.,2685.75,INACTIVE
43,Right-sized local installation,Girl I around identify join not though grow.,1375.88,ACTIVE
44,Profound bi-directional algorithm,Deep image right check something.,4445.51,ACTIVE
45,Quality-focused asynchronous encryption,Yourself eye art parent Republican student themselves talk.,3317.33,INACTIVE
46,Intuitive intermediate methodology,Necessary hot court attack source live.,2207.58,ACTIVE
47,Persistent analyzing capability,Each call step minute owner pressure dinner growth.,1426.9,ACTIVE
48,Triple-buffered dedicated algorithm,Meeting baby pattern cultural four.,2455.4,INACTIVE
49,Compatible next generation Graphic Interface,This moment record grow nation.,2543.12,ACTIVE
50,Operative even-keeled projection,Call not visit participant.,1639.02,ACTIVE
51,Adaptive client-server structure,Improve resource expert development.,172.43,ACTIVE
52,Managed optimizing productivity,Someone another artist soon character.,3267.43,ACTIVE
53,Versatile client-driven projection,Way argue never within order.,1670.68,ACTIVE
54,Monitored responsive circuit,State arm although attack hold area.,4125.18,ACTIVE
55,Cross-platform clear-thinking firmware,Step improve company try.,3235.98,ACTIVE
56,Configurable multi-tasking challenge,Term someone world.,2386.71,ACTIVE
57,Diverse systemic customer loyalty,Country tax under among total.,1505.26,ACTIVE
58,Grass-roots bi-directional frame,Experience along hit kid possible.,1274.36,ACTIVE
59,Digitized contextually-based project,Say against into generation ten able support material.,4807.52,ACTIVE
60,Down-sized explicit superstructure,Hot energy young particularly.,1602.76,INACTIVE
61,Visionary real-time support,Head example claim data color.,3812.19,ACTIVE
62,Business-focused intangible adapter,Effort perform listen recognize.,1715.31,ACTIVE
63,Implemented optimizing protocol,Reflect pull stay write.,1378.03,INACTIVE
64,Reverse-engineered well-modulated customer loyalty,Bring memory knowledge anyone forget stock such.,4716.24,ACTIVE
65,Reduced even-keeled interface,The seat catch several bill kid box minute.,1167.05,ACTIVE
66,Organized stable software,Specific chair result growth.,4527.44,ACTIVE
67,Innovative object-oriented approach,Well enter drop first wife could.,2179.83,ACTIVE
68,Secured 4thgeneration knowledge user,Deep everything stage common too crime claim.,1469.0,ACTIVE
69,Business-focused radical protocol,Nor affect building write.,1719.21,ACTIVE
70,Re-contextualized logistical moderator,Seven office realize statement attack very.,2001.6,ACTIVE
71,Quality-focused modular core,Child before make operation.,4558.0,ACTIVE
72,Quality-focused human-resource standardization,Professional sister about paper.,3917.4,ACTIVE
73,Managed homogeneous knowledgebase,Health ago keep top seat wall.,1020.97,INACTIVE
74,Synchronized system-worthy secured line,Serious remain seat beyond.,3512.77,INACTIVE
75,Monitored next generation orchestration,Hospital large other catch reality will room.,4466.06,ACTIVE
76,Reactive optimizing architecture,Animal paper a in ahead.,3380.88,INACTIVE
77,Organic eco-centric encryption,Score camera action economy simple pretty.,938.1,ACTIVE
78,Operative neutral instruction set,Tree clear win people.,3105.11,ACTIVE
79,Progressive uniform matrix,Kid summer treatment note line day conference.,796.15,ACTIVE
80,Multi-lateral methodical utilization,Receive strategy similar.,1794.9,ACTIVE
81,Persevering fault-tolerant instruction set,Lot share at avoid.,645.96,ACTIVE
82,Switchable exuding throughput,Attack present myself oil feeling fear.,2759.55,INACTIVE
83,User-friendly motivating database,That especially drop because during.,2172.36,ACTIVE
84,Monitored intermediate artificial intelligence,Politics consider seven husband actually.,4034.61,ACTIVE
85,Up-sized zero-defect Graphical User Interface,Live interview such food study school music each.,1200.04,ACTIVE
86,Function-based uniform neural-net,Community per become.,1495.94,ACTIVE
87,Proactive well-modulated frame,Tax available fact everything seat.,2406.32,ACTIVE
88,Assimilated exuding neural-net,Total change receive new again candidate.,445.34,ACTIVE
89,Object-based local initiative,High song small actually this wind throw.,4789.82,ACTIVE
90,Down-sized bi-directional time-frame,Director probably yes society.,2310.32,ACTIVE
91,Reduced mission-critical instruction set,Tough expect artist nearly music.,3466.83,ACTIVE
92,Diverse explicit neural-net,Structure you say although address training billion scene.,4195.62,INACTIVE
93,Implemented asynchronous circuit,Window prove often activity safe special alone.,982.36,ACTIVE
94,Virtual tangible synergy,Word Mr or road race sign page.,2765.45,INACTIVE
95,Reverse-engineered foreground success,Prepare collection without four.,537.69,ACTIVE
96,Managed 5thgeneration neural-net,Little bed large require fight.,4289.53,ACTIVE
97,Synergistic maximized archive,Second forward back event history.,105.83,INACTIVE
98,Proactive empowering extranet,Address grow side.,4579.79,ACTIVE
99,Fundamental global budgetary management,Prevent western they remain.,1758.13,INACTIVE
100,Future-proofed explicit solution,Party by sense name fight discuss air.,1194.94,ACTIVE
101,Upgradable didactic hierarchy,Full person situation.,2089.09,ACTIVE
102,Configurable fresh-thinking software,Relationship lead civil send.,792.94,ACTIVE
103,Progressive explicit superstructure,Ago member similar single near action.,2212.93,INACTIVE
104,Extended intangible workforce,Respond too law everyone building list.,3274.11,INACTIVE
105,Fully-configurable exuding circuit,Become improve ability film should issue operation.,3308.06,ACTIVE
106,Adaptive 5thgeneration complexity,Play risk similar century.,3475.26,INACTIVE
107,Devolved leadingedge time-frame,Defense everybody fear fly office.,4988.77,ACTIVE
108,Team-oriented multi-tasking array,Eye sort pressure then.,551.04,ACTIVE
109,Horizontal uniform open system,Because finish agent send my interesting.,1049.8,ACTIVE
110,Networked human-resource architecture,Throw model oil television.,1695.08,ACTIVE
111,Versatile encompassing Graphical User Interface,Until white TV participant in father pattern.,138.99,ACTIVE
112,Public-key contextually-based contingency,Challenge marriage affect lay strategy.,2267.87,ACTIVE
113,Enhanced homogeneous protocol,Hot according social deal establish the.,4213.3,ACTIVE
114,Pre-emptive reciprocal collaboration,Join wait recognize even spend.,742.08,INACTIVE
115,Front-line mission-critical intranet,Generation street task material he paper.,3818.1,ACTIVE
116,Robust scalable artificial intelligence,Food bar state boy writer ability.,4307.16,ACTIVE
117,Ergonomic modular success,Hot owner yeah movement including travel image author.,1594.67,INACTIVE
118,Re-engineered systemic encoding,Participant memory career experience remember under.,1117.91,ACTIVE
119,Monitored empowering framework,Physical authority employee.,523.3,ACTIVE
120,Pre-emptive bottom-line model,Plan cold candidate story late every.,3931.64,INACTIVE
121,Future-proofed directional definition,See interest where perhaps yes off.,4420.84,ACTIVE
122,Business-focused 3rdgeneration capacity,Finish order physical phone quite.,2606.35,ACTIVE
123,Triple-buffered solution-oriented access,Away yet under order story town physical.,1084.31,ACTIVE
124,Front-line zero-defect definition,Build include property example very financial day.,399.02,ACTIVE
125,Switchable multimedia success,Many ten citizen decade field worry until none.,4134.63,ACTIVE
126,De-engineered optimal algorithm,Spring science your.,4457.41,ACTIVE
127,Ameliorated 3rdgeneration hub,Eye office moment ball wide community listen.,219.76,ACTIVE
128,Proactive static algorithm,Poor relationship by behind national morning goal.,2966.37,ACTIVE
129,Vision-oriented zero administration product,Decide almost interesting.,4454.15,ACTIVE
130,Customer-focused well-modulated forecast,Where each animal.,1614.35,ACTIVE
131,Team-oriented fault-tolerant hardware,Get capital poor type you.,1153.12,ACTIVE
132,Sharable radical methodology,Scientist population as affect three decide region.,1871.73,ACTIVE
133,Programmable client-driven system engine,Year easy realize.,4313.38,ACTIVE
134,Secured client-server benchmark,Drive true region blood ability.,2450.37,ACTIVE
135,Total logistical firmware,Old carry take trial.,2740.88,INACTIVE
136,Fully-configurable interactive capacity,For join take cut ask glass very.,4814.06,ACTIVE
137,Reduced 24/7 emulation,Society nothing form thus window among.,4994.82,ACTIVE
138,User-friendly incremental superstructure,Machine win site.,4390.41,ACTIVE
139,Inverse zero-defect standardization,Common system power how lot.,4053.57,ACTIVE
140,Exclusive discrete policy,Sea use soldier institution best.,3832.74,ACTIVE
141,Customer-focused modular focus group,Fly open thank really.,2767.43,ACTIVE
142,Down-sized solution-oriented frame,Project since meet a pass.,1164.18,ACTIVE
143,Quality-focused context-sensitive circuit,Enter finally its long dog management occur.,3548.3,ACTIVE
144,Team-oriented 4thgeneration protocol,Thus thank large may.,3891.65,ACTIVE
145,Distributed secondary Graphic Interface,Its rock rule production fact make.,2013.92,ACTIVE
146,Balanced real-time knowledge user,Card difficult beat cut feel subject.,875.0,ACTIVE
147,Reactive 6thgeneration adapter,Whose thank kind develop.,4901.41,INACTIVE
148,Triple-buffered context-sensitive access,Economy without likely role Mrs for role.,3923.31,ACTIVE
149,Sharable optimizing collaboration,With seek stuff drug particular tough.,1995.56,ACTIVE
150,Exclusive homogeneous circuit,Company author maybe increase.,4300.04,ACTIVE
